#RNA-seq raw count
len_rna	es1_rna	es2_rna	es3_rna	npc1_rna	npc2_rna	npc3_rna
AC095059.2	933	0	0	0	0	0	0
AC095059.1	349	0	0	0	0	0	0
AC020699.1	445	45	47	20	2	2	1
AC110800.1	441	0	0	0	0	0	0
RNA5SP164	110	0	0	0	0	0	0
ATOH1	2212	1	6	4	0	0	0
AC096746.1	1042	1	3	1	0	0	6
HMGB3P15	574	0	0	0	0	0	0
SMARCAD1	6313	1167	1496	1724	1160	1626	1634
HPGDS	2111	0	0	0	0	0	0
AC109925.2	2968	0	0	0	0	0	0
AC109925.1	331	0	0	0	0	0	0
PDLIM5	11090	1280	1632	1611	1328	1740	1693
AC108067.1	215	0	0	0	3	0	0
BMPR1B-DT	791	1	1	0	0	1	0
BMPR1B	6312	30	22	15	81	140	128
UNC5C	10685	148	145	165	664	895	816
AC106881.1	3329	3	9	7	16	40	19
RPL30P6	342	0	0	0	0	0	0
PDHA2	1456	0	0	0	0	0	0
RNU6-1059P	98	0	0	0	0	0	0
RNU6-34P	107	0	0	0	0	0	0
AC096661.1	822	0	0	0	0	0	0
LINC02267	2423	0	0	0	0	0	0
RN7SKP28	305	0	0	0	0	0	0
AC096585.1	3691	0	0	0	0	2	0
COX7A2P2	250	0	0	0	0	0	0
AC108515.1	525	0	0	0	0	0	0
STPG2	6076	6	5	5	13	18	10
AC034154.1	770	1	3	0	5	8	4
STPG2-AS1	4110	0	0	0	0	2	6
CRYZP2	1049	1	0	3	0	0	0
RPL5P12	851	0	1	1	1	0	5
DUTP8	489	0	0	0	0	0	0
AC019077.1	397	0	0	0	1	1	2
RAP1GDS1	5424	883	950	1018	921	1270	1291
AC058823.1	474	0	0	1	0	0	1
TSPAN5	7412	1241	1318	1219	1676	2222	2133
AC108159.1	489	0	0	0	0	0	0
AC114811.2	5647	12	7	12	12	23	24
AC114811.1	168	0	0	0	0	0	0
BTF3P13	490	0	0	0	0	0	0
EIF4E	14067	1919	2167	2861	1857	2490	2720
TBCAP3	312	4	7	0	2	4	2
AC019131.1	622	0	3	0	4	2	1
FAM177A1P1	473	0	0	2	0	0	0
AC019131.3	1077	0	0	2	2	5	3
RNU7-149P	59	0	0	0	0	0	0
NDUFS5P4	318	0	0	0	0	0	0
METAP1	4074	2559	2835	2875	2383	3418	3315
MIR3684	74	7	14	11	7	7	10
ABT1P1	821	0	0	0	0	0	0
AC019131.2	870	3	5	7	11	22	9
ADH5	4866	5962	7697	6289	7083	10219	9577
AP002026.1	7494	121	160	125	198	248	250
ADH4	2453	4	4	7	0	0	2
PCNAP1	1132	0	0	0	0	0	0
ADH6	4401	4	1	2	0	0	0
ADH1A	2231	0	0	0	0	0	0
ADH1B	10770	0	0	0	0	0	0
ADH1C	1574	0	0	0	0	0	1
ADH7	3108	0	0	0	0	0	0
AP001960.1	658	0	0	0	0	0	0
C4orf17	3253	0	0	0	0	0	0
TRMT10A	4386	36	58	65	48	56	60
MTTP	5398	11	20	11	13	9	14
AC083902.1	359	0	0	0	0	0	0
C4orf54	10086	0	0	2	2	1	0
DAPP1	4590	0	0	1	7	3	1
AP001962.1	559	0	0	0	0	0	0
LAMTOR3	4164	387	488	557	608	895	892
DNAJB14	12970	368	457	550	564	714	728
AC097460.3	442	2	6	7	2	2	13
H2AFZ	2270	8609	9675	8991	7228	10356	9696
AC097460.1	4865	12	12	12	18	35	21
AC097460.2	741	0	0	0	0	0	0
DYNLL1P6	264	0	0	0	0	0	0
DDIT4L	2994	221	282	292	143	185	156
AP001961.1	526	2	0	0	0	0	0
EMCN	5172	0	0	0	1	1	2
AC097459.1	1336	1	0	0	0	0	0
LINC01216	824	0	0	0	0	0	0
LINC01217	3058	0	0	0	0	0	0
LINC01218	481	2	0	2	6	2	10
PPP3CA	5213	1866	2623	2341	530	803	764
MIR8066	78	6	2	4	0	0	2
MIR1255A	113	3	3	3	1	2	1
AP001816.1	790	48	71	4	15	18	10
BANK1	6144	27	27	20	6	17	7
AC084277.1	1049	0	0	0	0	0	0
RNU6-462P	105	0	0	0	0	0	0
MTND5P5	376	0	0	0	0	0	0
AP002075.1	603	0	0	0	0	0	0
SLC39A8	6480	895	1038	1224	411	575	588
RN7SL728P	300	0	0	0	0	0	0
AC098487.1	992	9	11	9	19	27	27
AF213884.2	903	0	0	0	0	0	0
AF213884.3	479	0	0	2	1	3	0
NFKB1	6359	311	413	379	321	359	345
MANBA	11743	780	990	1109	1224	1662	1722
AF213884.1	463	0	0	0	0	0	0
LRRC37A15P	1355	11	5	4	13	16	30
KRT8P46	1426	61	81	54	322	317	324
AC018797.1	255	0	0	0	0	0	0
AC018797.2	1241	0	0	0	0	0	0
UBE2D3	10044	6385	7725	7119	7394	9938	9617
AC018797.3	824	0	0	0	0	0	0
UBE2D3-AS1	883	25	24	20	25	45	44
RNU7-151P	53	0	1	0	0	0	2
CISD2	6352	519	674	663	764	996	1088
SLC9B1	2977	12	4	6	56	74	59
PABPC1P7	1513	0	0	0	0	0	0
ACTR3BP4	1244	0	0	0	0	0	0
SLC9B2	5374	64	80	72	314	405	348
BDH2	5213	579	673	669	639	917	849
CENPE	9444	348	454	558	275	419	406
LINC02428	3859	19	31	7	39	66	70
AC105460.2	927	1	0	5	13	14	10
AC105460.1	2272	1	0	0	0	0	0
DDX3P3	1994	0	2	0	0	0	6
TACR3	5359	55	103	72	7	2	7
AC004047.1	625	0	0	0	0	0	0
RNU6-635P	102	0	0	0	0	0	0
LINC02503	1432	2	0	0	1	0	0
AC004052.1	1632	0	0	0	0	0	0
CXXC4	5823	13	22	27	369	477	465
CXXC4-AS1	10262	2	3	0	2	6	8
AC004063.1	547	0	0	0	4	1	2
AC004053.1	575	4	0	0	0	0	0
AC105918.1	838	0	0	0	0	0	0
AC096577.1	1954	0	0	0	0	0	0
RNU6-351P	100	0	0	0	0	0	0
AC096577.2	153	0	0	0	0	0	0
AC004069.2	1114	0	0	0	0	0	0
AC004069.1	549	0	1	0	0	2	1
TET2	16474	26	45	31	392	525	589
TET2-AS1	537	0	0	0	0	0	0
RN7SL89P	283	0	0	0	0	0	0
PPA2	4640	608	764	775	1186	1832	1733
RNU6-553P	96	0	0	0	0	0	0
EEF1A1P9	1383	10	7	22	18	22	17
AC004066.1	802	0	0	0	0	3	0
ATP5F1EP1	156	0	0	0	0	0	0
AC004066.2	572	0	0	0	5	6	8
ARHGEF38	7580	0	0	0	96	74	80
ARHGEF38-IT1	456	0	0	0	0	0	4
AC105391.1	1045	1	0	2	0	0	0
INTS12	3897	192	326	254	367	586	519
GSTCD	6295	1078	1215	1322	1152	1732	1672
AC008243.1	826	0	0	0	0	0	0
NPNT	6117	18	24	29	67	107	105
AC109361.2	584	0	0	0	0	0	0
AC109361.1	3526	3	2	3	0	0	1
TBCK	11112	426	522	420	730	1051	1034
AIMP1	3328	292	480	399	419	561	595
GIMD1	1470	0	0	0	0	0	0
LINC02173	971	0	0	0	0	0	0
AC092445.1	4893	1	1	0	3	0	0
ACTR6P1	1104	0	0	0	0	0	0
DKK2	4335	1	1	0	16	21	12
RAC1P5	576	0	0	0	0	0	0
AC104663.1	557	0	0	0	0	0	0
RNU6-551P	103	0	0	0	0	0	0
PAPSS1	3260	2224	2736	2484	3720	5181	5081
SGMS2	7635	1	4	1	52	72	81
AC096564.1	6857	3	2	2	1	3	5
RNU6-733P	104	0	0	0	0	0	0
CYP2U1	5920	179	199	192	265	358	371
AC096564.2	3147	0	0	1	0	0	0
HADH	12086	1351	1618	968	1932	2600	2349
LEF1	5361	37	57	28	273	401	355
LEF1-AS1	6080	3	7	1	4	3	6
RPSAP34	736	0	0	0	0	0	0
ZACNP1	710	0	0	0	0	0	0
EXOC7P1	2059	0	0	0	0	0	0
RPL34-AS1	4570	2	2	0	4	12	4
RPL34	3393	5798	7850	4200	11135	17515	15509
OSTC	1616	1831	2062	1864	2651	3872	3950
RNU6-431P	107	5	6	6	10	11	13
AC107071.1	1310	17	24	14	14	18	35
ETNPPL	2942	14	19	31	5	7	7
AC097473.1	408	0	0	0	0	0	0
RCC2P8	1035	0	0	0	0	0	0
COL25A1	8744	146	168	164	24	19	26
ZCCHC23	1951	0	0	4	0	0	0
RBMXP4	1134	1	0	0	2	1	3
SEC24B-AS1	6397	38	27	42	114	177	171
SEC24B	5219	789	1098	980	1854	2470	2443
RN7SL55P	297	0	0	0	0	0	0
MIR576	98	2	6	2	5	4	12
SETP20	852	0	0	0	0	0	4
CDC42P4	563	0	0	1	1	5	2
MCUB	3555	270	375	338	245	292	303
HIGD1AP14	282	0	0	2	5	0	0
CASP6	1943	397	542	463	540	791	714
AC004067.1	700	0	3	0	0	0	1
PLA2G12A	5221	163	269	241	201	256	290
AC126283.2	2385	0	0	0	0	0	0
CFI	4875	0	0	0	0	3	0
AC126283.1	364	1	0	2	1	6	1
GAR1	1964	408	452	453	267	381	371
RRH	7138	7	8	6	2	4	7
LRIT3	3897	2	0	4	0	1	1
KRT19P3	828	0	0	0	0	0	0
EGF	7616	129	128	155	380	507	517
RNU6-35P	107	0	1	0	1	0	2
ELOVL6	7297	2206	2893	3217	1091	1441	1499
RN7SL275P	335	0	0	0	0	0	0
AC093770.1	571	0	0	0	0	0	0
HSBP1P2	229	0	0	0	0	0	0
AC108145.1	153	0	0	0	0	0	0
RNU6-205P	107	0	0	0	0	0	1
ZBED1P1	1930	0	0	0	0	0	0
ENPEP	7720	7	5	7	10	17	21
RPL7L1P13	739	0	0	0	0	0	0
ZNF969P	2341	2	3	12	6	12	18
RF00494	320	101	129	116	187	147	167
AC098798.1	1447	3	1	4	1	2	0
PANCR	832	30	31	23	5	13	25
PITX2	5787	109	165	114	17	30	55
LINC01438	556	0	0	0	0	0	0
MIR297	66	0	0	0	0	0	0
LYPLA1P2	691	0	0	0	0	0	0
AC004062.1	645	0	0	0	0	0	0
RNU6-289P	107	0	0	0	0	0	0
AC083795.1	320	0	0	0	0	0	0
AC083795.2	1589	0	0	0	0	0	0
AC139718.2	481	0	0	0	0	0	0
AC139718.1	300	0	0	0	0	1	1
AC004704.1	583	1	0	1	0	0	1
CCDC34P1	517	0	0	0	0	0	0
TUBB8P3	803	0	0	0	0	0	0
AC093663.1	394	0	0	1	0	0	0
FAM241A	8844	5	10	9	2	4	0
AC093663.2	313	1	0	0	0	0	0
AC109347.1	2036	9	13	22	29	45	49
AP1AR	3444	253	320	437	200	263	263
AC109347.2	349	4	1	2	0	0	0
TIFA	4256	83	100	79	78	103	101
ALPK1	12326	15	25	9	3	12	10
RTEL1P1	4798	0	0	0	0	0	0
TOX4P1	1862	0	0	0	0	0	0
NEUROG2	2295	0	0	0	25	43	34
AC023886.1	952	0	0	0	0	6	1
RPL23AP94	302	0	0	0	0	0	0
ZGRF1	9103	885	1093	1395	1535	2172	2167
AC023886.2	411	1	0	2	0	0	2
LARP7	3996	338	469	563	603	829	910
MIR302CHG	743	1010	1319	1091	392	500	496
MIR367	68	75	79	42	9	13	26
MIR302D	68	14	5	11	2	0	0
MIR302A	69	54	83	49	34	60	37
MIR302C	68	85	103	62	33	15	35
MIR302B	73	852	928	677	86	123	110
OSTCP4	449	0	0	0	0	0	0
AC106864.1	740	33	55	43	20	28	34
WRBP1	334	0	0	0	0	0	0
AC017007.3	435	20	17	15	26	42	42
RPL7AP30	796	5	4	1	1	9	2
AC017007.4	1352	0	0	0	0	0	0
ANK2	18224	2329	2906	2734	2589	3625	3630
AC017007.2	1301	33	38	22	26	47	40
AC017007.5	874	1	0	0	14	13	19
AC017007.1	415	0	0	0	0	0	0
AC093879.1	3435	0	0	0	1	0	0
AC093879.2	427	0	0	0	0	0	0
MIR1243	93	3	3	5	3	4	4
MIR8082	81	0	1	0	1	1	1
AC004057.1	498	27	49	29	36	56	47
RN7SL184P	297	0	0	0	0	0	0
RNU1-138P	164	0	0	0	0	0	0
CAMK2D	7363	553	669	671	1865	2564	2661
AC111193.1	155	0	0	0	0	0	0
ARSJ	5146	159	159	182	66	84	92
AC104779.1	441	0	0	0	0	0	0
AC093815.1	280	0	0	0	0	0	0
UGT8	4385	1260	1611	1675	218	239	292
MIR577	96	1	0	2	0	0	2
CIR1P2	1342	0	0	0	0	0	0
RN7SL808P	299	0	0	0	0	0	0
NDST4	3719	0	1	2	20	28	26
MRPS33P3	322	0	0	0	0	0	0
RPF2P2	896	0	0	0	0	0	0
PGAM4P2	721	0	0	0	0	0	0
KRT18P21	1272	0	0	0	0	0	0
AC027613.1	2414	0	0	0	0	0	0
EIF3KP3	639	0	0	0	0	0	0
TTC39CP1	755	0	0	0	0	0	0
MTRNR2L13	1445	0	0	0	0	0	0
MIR1973	44	0	0	0	0	0	0
TRMT112P1	351	0	0	0	0	0	0
CUL4AP1	1863	0	0	0	0	0	0
AC106892.1	596	0	0	0	0	0	0
ACTN4P1	1451	0	0	0	0	0	0
AC093765.5	1797	0	0	0	0	0	0
AC093765.4	4242	0	0	0	0	0	0
AC093765.3	2842	0	0	0	0	0	0
AC093765.2	3352	0	0	0	0	0	0
RNU6-119P	107	0	0	0	0	0	0
AC093765.1	881	0	0	0	0	0	0
TRAM1L1	2023	38	45	54	84	89	88
AC107399.1	265	0	0	0	0	0	0
LINC02262	2344	0	0	0	0	0	0
LINC02263	12555	3	0	3	0	0	1
LINC01378	5863	0	0	0	0	0	0
RPSAP35	818	0	0	0	0	0	0
NT5C3AP1	1663	1	1	0	0	0	0
AC092661.1	5878	0	0	0	0	0	0
LINC02264	931	0	0	0	0	0	0
NDST3	6854	3	12	7	7	14	5
FKBP4P1	1347	2	1	2	0	0	0
SNHG8	6608	1214	1400	1011	761	1055	935
SNORA24	131	0	0	0	0	0	0
PRSS12	5725	209	268	222	147	167	156
NDUFS5P5	321	0	0	0	0	0	0
AC092670.1	78	0	1	0	0	0	0
CEP170P1	4587	3	8	5	5	17	15
AC110079.1	4422	207	265	149	541	676	616
RNU6-1054P	104	6	2	2	1	7	5
CICP16	2813	0	0	0	0	0	0
SEPT14P4	186	5	6	4	8	19	11
METTL14-DT	7527	4	4	5	16	16	10
METTL14	6838	409	489	604	602	743	821
SEC24D	9920	2027	2270	2222	1228	1646	1638
SYNPO2	19530	68	73	72	6	10	7
AC096745.1	370	0	0	0	0	0	0
MYOZ2	2597	0	0	0	0	0	0
AC092656.1	2462	9	2	5	6	14	18
USP53	11950	323	467	449	227	347	363
C4orf3	2960	569	701	625	1243	1762	1624
FABP2	2478	0	0	0	0	0	0
KLHL2P1	521	1	1	6	12	8	22
RNU4-33P	85	0	0	0	0	0	0
AC110373.1	3505	0	0	0	0	0	0
GTF2IP12	10185	93	140	115	180	233	221
AC093752.3	901	0	0	0	2	3	0
RNU6-1217P	104	1	0	2	0	0	0
AC093752.1	5577	217	274	284	562	745	679
AC093752.2	573	25	28	19	38	60	65
PDE5A	9586	768	895	1026	431	550	603
RF00614	640	1	0	0	0	0	0
AC080089.1	3870	0	0	0	0	0	0
LINC01365	741	0	0	0	0	0	0
AC097173.1	819	0	0	0	0	0	0
LINC02502	642	0	1	0	1	0	1
AC097173.2	474	0	0	2	0	1	0
MAD2L1	5517	1870	2115	2363	2273	2875	3087
AC073475.1	4233	1	9	5	11	15	4
LTV1P1	1237	0	0	0	0	0	0
SAR1AP3	592	0	1	1	0	3	0
AC025741.1	552	0	0	0	0	0	0
PRDM5	9517	824	1042	1147	836	1133	1043
RNU6-550P	101	0	0	0	0	0	0
SETP12	805	12	12	18	6	8	15
NDNF	3573	67	105	116	130	182	177
RN7SKP137	307	0	0	0	2	2	0
AC105254.1	621	2	1	1	2	0	0
AC105254.2	436	0	0	0	0	1	0
TNIP3	3749	0	0	0	0	0	1
RNU6-948P	107	0	0	0	0	0	0
QRFPR	2160	4	1	6	1	1	3
AC093816.1	913	0	0	0	0	0	0
TUBB4BP5	427	0	0	0	0	0	0
ANXA5	2925	9814	12575	12803	10937	14965	13751
TMEM155	3027	10	13	26	3	9	8
AC079341.1	2230	3	1	1	2	2	2
EXOSC9	4711	601	825	776	676	1097	1045
CCNA2	2798	3515	4247	4664	3348	4264	4566
BBS7	4829	213	233	251	355	492	474
AC079341.2	2266	0	1	0	1	1	3
TRPC3	9210	6	5	5	6	4	5
AC097533.1	479	0	0	0	0	0	0
RN7SL335P	304	0	0	0	0	0	0
KIAA1109	20470	1521	1731	2005	2311	2735	3051
ADAD1	2699	2	0	0	0	0	0
IL2	1119	0	0	0	0	0	0
IL21	3292	0	0	0	0	0	0
IL21-AS1	3933	0	0	0	0	0	0
AC053545.1	4507	0	0	3	3	0	1
CETN4P	3858	5	11	1	5	17	12
BBS12	3431	45	75	79	122	201	163
AC021205.2	347	0	0	0	0	0	0
FGF2	6775	782	1004	1200	473	651	651
AC021205.1	348	18	7	20	7	6	4
AC021205.3	2849	0	2	6	9	10	9
NUDT6	6591	40	59	55	115	144	137
SPATA5	8226	769	1059	1075	1280	1784	1648
AC026402.1	170	0	0	0	0	0	0
AC026402.2	1476	0	0	0	1	0	0
SPRY1	3963	1935	2157	1523	1787	2575	2349
AC093821.1	2108	0	2	0	2	1	1
LINC02435	584	0	0	1	1	0	0
LINC01091	14337	22	27	31	15	15	19
AC096732.1	477	0	0	0	0	0	0
RPL21P50	477	0	0	0	0	0	0
AC093767.1	156	0	0	0	0	0	0
AC108075.1	596	0	0	0	0	0	0
PPIAP76	529	0	0	0	0	0	0
AC121154.1	430	0	0	0	0	0	0
AC133530.1	1559	0	0	0	0	0	0
AC097474.1	1371	0	0	0	0	0	0
TECRP2	928	0	0	0	0	0	0
LINC02516	2610	1	0	4	5	0	1
ANKRD50	8798	942	1249	1341	3347	4165	4535
FAT4	16439	543	678	726	292	373	366
MIR2054	49	0	0	0	0	0	0
AC104664.1	1434	0	0	0	0	0	0
NUP58P1	1738	0	0	0	0	0	0
TMEM248P1	951	0	0	0	0	0	0
LINC02379	1909	0	0	0	0	0	0
AC105758.1	399	0	0	0	0	0	0
AC097528.1	903	0	0	0	1	0	1
RBM48P1	1102	0	0	0	0	0	0
AC096773.1	648	0	0	0	0	0	0
AC093772.1	2649	1	0	3	0	0	1
AC093772.2	1994	0	0	0	0	0	0
AC097462.1	324	0	0	0	0	0	0
AC097462.2	481	0	0	0	0	0	0
AC097462.3	3928	0	0	0	0	1	0
INTU	16041	1228	1355	1299	1365	1858	1819
SLC25A31	1812	0	0	0	0	0	1
HSPA4L	11439	93	113	128	87	96	129
AC093591.3	308	0	2	0	0	0	0
AC093591.1	481	3	0	2	1	1	1
AC093591.2	3843	5	6	3	10	11	8
PLK4	4479	562	713	886	574	719	798
RNU6-583P	92	3	2	1	1	3	3
MFSD8	9103	261	327	281	424	615	543
ABHD18	6707	273	418	389	435	532	514
LARP1B	9480	550	703	856	321	488	473
AC099340.1	599	0	0	0	0	1	0
FOSL1P1	816	1	3	0	0	0	3
PGRMC2	4626	1222	1547	1633	1493	1846	1706
LINC02615	5854	51	71	55	42	84	58
AC110609.1	303	0	0	0	0	0	0
AC078850.1	1623	3	0	1	1	2	1
AC078850.2	597	0	0	0	0	0	0
JADRR	1721	0	0	0	0	0	1
JADE1	9052	2987	3785	3284	2660	3575	3424
SCLT1	8980	142	256	272	265	333	339
AC093783.1	329	0	0	0	0	0	0
AC093826.2	108	0	0	0	0	0	0
C4orf33	7015	46	65	56	59	57	65
AC093826.1	993	0	0	0	0	0	0
ZSWIM5P3	2743	0	0	0	0	0	0
AC105417.1	285	0	0	0	0	0	0
AC082650.1	575	0	0	0	0	0	0
AC082650.2	386	0	0	0	0	0	0
LINC02466	4048	4	4	6	14	20	25
LINC02465	6373	2	0	0	0	3	0
EEF1GP8	1154	0	0	0	0	0	0
LINC02479	969	0	0	0	0	0	0
PGBD4P4	613	0	0	0	0	0	0
GAPDHP56	988	0	1	0	0	3	0
AC093831.2	3427	0	0	0	0	0	0
AC093831.1	434	0	0	0	0	0	0
AC093902.1	1109	0	0	0	0	0	0
AC025554.1	188	0	0	0	0	0	0
RNU6-224P	107	0	0	0	0	0	0
LINC02377	3554	0	0	1	0	0	0
AC105424.1	209	0	0	0	0	0	0
RN7SL205P	284	0	0	0	0	0	0
SNHG27	4127	0	0	0	0	0	0
AC107393.1	346	0	0	0	0	0	0
RPL7AP28	571	0	0	0	0	0	0
AC096711.2	454	0	0	0	0	0	0
AC093916.1	1544	0	1	0	0	0	0
AC096711.1	347	0	0	0	0	0	0
ELL2P2	694	0	0	0	0	0	0
AC114741.1	464	0	0	0	0	0	0
LINC01256	706	0	1	0	0	0	0
AARSP1	453	0	0	0	0	0	0
AC115622.1	587	0	0	0	0	1	0
AC110751.1	462	0	0	0	0	0	0
AC105383.1	11455	7	25	16	16	16	25
R3HDM2P1	1960	0	0	0	0	0	0
PCDH10	10182	244	371	242	255	335	334
AC108052.1	1460	1	2	6	0	0	0
AC105252.1	286	0	0	0	0	0	0
AC079380.1	619	0	0	0	0	2	0
AC015631.1	8651	1	0	5	1	5	2
AC096763.1	1287	0	0	0	0	0	0
PABPC4L	4985	35	54	39	39	33	56
PES1P1	1736	0	0	0	0	0	0
LINC02462	1594	0	0	0	0	0	0
AC093722.1	489	0	0	0	0	0	0
AC104619.2	646	0	0	0	0	0	0
AC104619.4	249	0	0	0	0	0	0
AC104619.1	631	0	0	0	0	0	0
AC104619.3	1387	0	0	0	0	1	0
AC107463.1	1121	0	0	0	0	0	0
LINC02485	981	0	0	0	1	0	2
KRT18P54	748	1	0	0	0	0	0
TARS2P1	2041	0	0	0	0	0	0
AC105362.1	564	0	0	0	0	0	0
LINC00613	546	0	0	0	0	0	0
RNU1-89P	164	0	0	0	0	0	0
AC104136.1	394	0	0	0	0	0	0
AC073429.2	1444	0	3	4	0	0	1
AC018680.1	1358	18	20	18	1	6	1
AC073429.1	503	0	0	0	0	0	0
TERF1P3	1227	0	0	0	0	0	0
AC093875.1	504	0	0	0	0	0	0
LINC02511	3389	1	0	0	0	0	0
LINC02510	1576	0	0	0	0	0	0
SERF1AP1	187	0	0	0	0	0	0
STMN1P2	439	0	0	0	0	0	0
RPS23P2	415	0	0	0	0	0	0
PCDH18	6686	585	744	801	5699	7723	8096
LINC02172	2264	0	0	0	0	0	2
AC116563.2	535	0	0	0	0	0	0
AC116563.1	396	0	0	0	0	0	0
AC131956.2	1641	0	0	0	0	0	0
AC131956.3	430	0	0	0	0	0	0
AC131956.1	258	0	0	0	0	0	0
AC097511.1	1468	0	0	0	0	0	0
LINC00616	6177	1	0	0	0	0	0
SLC7A11-AS1	6161	0	0	0	0	0	0
SLC7A11	9645	931	1216	1467	1267	1687	1614
AC093903.1	405	0	0	0	1	0	0
LINC00498	455	0	0	0	0	0	0
LINC00499	20131	0	0	0	0	2	0
LINC00500	539	0	0	0	0	0	0
AC105416.1	842	0	0	0	0	0	0
AC098859.1	1238	1	1	0	0	0	0
AC098859.2	563	0	2	0	0	0	0
AC093766.1	2894	0	0	0	3	0	4
AC109927.1	664	0	0	1	2	3	1
AC109927.2	303	0	0	0	0	0	0
NOCT	2512	1410	1600	1306	1053	1299	1216
ELF2	8560	637	800	694	1053	1544	1444
RNU6-531P	104	1	3	0	0	2	0
RN7SL382P	282	0	0	0	0	0	0
PPP1R14BP3	445	7	4	1	6	6	8
RN7SL311P	306	1	0	0	0	0	1
RNU6-506P	94	0	0	0	0	0	0
RNU6-1074P	104	0	0	0	0	0	0
MGARP	1224	14	18	21	23	26	25
NDUFC1	1941	283	331	244	274	351	377
NAA15	9664	2158	2957	3576	1987	2467	2688
RNU6-1214P	109	3	0	0	1	8	3
AC097376.2	7954	71	70	66	132	195	177
AC097376.1	1240	2	4	2	7	7	4
RAB33B	5028	129	194	149	228	253	330
SETD7	13916	353	434	431	944	1408	1376
FTH1P24	462	0	0	0	0	0	0
AC112236.2	845	1	3	1	8	7	7
AC112236.3	2179	0	0	0	0	0	1
AC112236.1	1098	0	0	0	4	6	5
MGST2	3172	112	209	149	157	226	185
RN7SKP237	301	0	0	0	0	0	0
H3F3AP6	411	3	9	16	5	19	7
MAML3	7012	184	258	148	698	990	858
AC108053.1	3396	0	0	0	0	0	0
RN7SKP253	309	0	0	0	0	3	3
AC131182.1	657	0	0	0	0	0	0
SCOC	6294	279	356	422	532	694	746
SCOC-AS1	8553	0	7	3	30	47	40
NDUFB4P9	388	0	0	0	0	0	0
RPL14P3	622	1	0	0	0	7	0
CLGN	2822	15	42	19	125	147	143
MGAT4D	5595	0	0	0	0	0	0
AC093671.1	2929	0	0	0	0	0	0
ELMOD2	6617	398	582	654	746	914	1003
UCP1	1621	8	4	6	14	16	29
AC108019.2	1471	0	0	0	0	2	0
RN7SL152P	298	0	0	0	0	0	0
AC108019.1	175	0	0	0	0	0	0
TBC1D9	5851	79	106	80	622	830	848
TNRC18P1	3650	2	0	6	16	21	20
RNY1P14	108	0	0	2	0	0	0
AC096733.1	402	0	0	0	0	1	0
AC096733.2	1394	3	3	7	13	5	13
RNF150	11012	317	347	396	655	873	859
ZNF330	2536	409	547	498	627	934	895
AC107220.1	1037	0	0	0	0	0	0
LINC02432	7305	1	1	2	0	0	0
AC097504.1	2415	0	0	0	1	0	0
AC097504.2	454	0	0	0	0	0	0
LINC02276	138	0	0	0	0	0	0
IL15	7876	16	19	30	2	2	4
INPP4B	14153	10	14	16	2	18	27
RPL5P13	709	0	0	0	0	0	0
LSM3P4	309	0	0	0	0	0	0
AC139720.2	440	0	0	0	0	0	0
AC139720.1	512	0	0	0	0	0	0
AC104596.1	1686	12	19	23	70	93	64
AC104596.2	793	0	0	0	0	0	0
USP38	7787	406	500	451	581	631	779
AC097658.2	624	0	0	0	0	0	0
GAB1	10119	624	768	814	730	851	822
MIR3139	76	7	5	10	9	8	8
AC097658.1	843	2	4	0	7	10	3
AC097658.3	1325	0	0	0	0	0	0
RPSAP36	1261	12	2	7	14	15	7
AC104685.1	371	0	1	0	0	0	0
SMARCA5-AS1	945	5	8	5	2	8	14
SMARCA5	8146	3201	4213	5077	3787	5246	5568
AC139713.1	502	0	0	0	0	0	0
AC107223.1	15900	8	5	15	56	75	77
GUSBP5	1989	9	5	3	12	16	17
FREM3	6869	7	13	2	0	0	2
AC104090.1	1171	0	0	0	0	0	0
GYPE	2007	0	0	0	0	0	0
AC093890.1	540	0	0	0	0	0	0
GYPB	1872	0	1	0	0	0	0
AC093890.2	1048	0	0	0	0	0	0
GYPA	4251	0	0	0	0	0	0
AC098588.2	1902	2	0	0	0	3	1
AC098588.1	1890	0	0	0	0	0	0
AC106871.1	3102	0	0	0	0	0	0
KRT18P51	746	0	0	0	0	0	0
HHIP-AS1	2153	0	2	5	5	5	4
HHIP	11939	2	7	9	8	10	2
ANAPC10	4522	67	75	77	85	139	129
HSPD1P5	1720	0	0	0	0	0	0
AC109811.1	3105	0	0	0	0	0	0
AC109811.2	452	0	1	0	0	1	0
RN7SKP235	305	0	0	0	0	0	0
ABCE1	6254	1859	2632	2763	2105	2622	2943
OTUD4	9085	1734	1945	2428	1866	2537	2467
RPS23P4	423	0	0	0	0	0	0
LINC02266	1724	5	3	2	3	2	0
RTN3P1	711	2	3	0	3	5	1
AC079228.1	1049	0	1	0	0	1	1
AC093796.1	792	0	1	2	3	4	0
NMNAT1P4	840	0	0	0	0	0	0
SMAD1	7094	544	697	739	715	927	990
SMAD1-AS2	1090	1	0	0	0	0	0
SMAD1-AS1	481	0	0	0	0	0	0
MMAA	8158	85	111	95	70	96	109
NCOA4P3	1877	0	0	1	0	0	0
AC093864.1	745	9	27	27	0	0	0
C4orf51	1122	293	387	272	5	17	11
ZNF827	8688	1072	1551	1190	939	1347	1227
AC104791.2	2525	16	23	17	6	8	6
AC104791.1	794	85	140	71	0	2	0
AC108206.1	4159	0	0	0	0	0	0
LINC01095	3540	0	0	0	0	0	0
LSM6	3975	160	226	185	193	307	233
AC097372.2	466	7	5	10	7	5	13
